Código,Descripción,Clase,Familia,Segmento
25181701,Tráiler para,,,
25181702,Tráiler cama alta,,,
25181703,Remolques para,,,
25181708,Enganches de,,,
25181709,Pala cargadora,,,
25181710,Placas de matrícula,,,
25181711,Remolque de,,,
25181712,Remolque de,,,
25181713,"Remolque de botes Vehículo especializado para el transporte de embarcaciones Remolque de embarcación,remolque de",,,
25181714,Contenedores de,,,
25191504,Simuladores de,,,
25191507,Equipo para deshielo,,,
25191508,Pasarela telescópica,,,
25191511,Equipo de lavabos,,,
25191514,Barra de remolque,,,
25191603,Vehículos de,,,
25191604,Vehículos de,,,
25191605,Módulos de servicio,,,
25191701,Equipos de balanceo,,,
25191702,Equipos de,,,
25191703,Máquinas para,,,
25191704,Pedestales de,,,
25201501,Spoilers de avión,,,
25201502,Aletas de avión,,,
25201503,Estabilizadores,,,
25201504,Aletas canard de,,,
25201505,Listones de avión,,,
25201506,Flaps o transmisión,,,
25201507,"Timones de avión Pieza que se utiliza para gobernar o dirigir un avión Timones de avión,timón de",,,
25201508,"Elevadores de avión Vehículo destinado a subir, bajar o desplazar, mediante un",,,
25201509,Alerones de avión,,,
25201510,Propulsores de avión Es el motor lo que le da la fuerza propulsora para generar,,,
25201511,Alas de avión,,,
25201512,"Fuselajes de avión Cuerpo del avión donde van los pasajeros y las mercancías Fuselajes de avión,cuerpo,avion,avión Fuselaje y",,,
25201513,Cúpulas protectoras,,,
25201514,"Rotores de avión Parte giratoria de una máquina eléctrica o de una turbina Rotores de avión,Totores,Totors,aspas,rotor Fuselaje y",,,
25201515,Ventilador de,,,
25201516,Escudetes de avión,,,
25201517,"Muebles de avión Todo el equipamiento interno que tienen los aviones Muebles de avión,Sillas,Asientos Fuselaje y",,,
25201518,Dobladores de avión,,,
25201519,Nervaduras de avión Son elementos transversales del ala y tambiém transversales,,,
25201520,Largueros de avión,,,
25201602,Faros de navegación,,,
25201604,Sistemas de guía,,,
25201605,Controles de volante,,,
25201702,Registradores de,,,
25201703,Contramedidas de,,,
25201706,Electrónica de,,,
25201707,Giroscopio del avión,,,
25201708,Cámaras de avión Es un dispositivo utilizado para capturar imágenes o,,,
25201709,Sondas o sensores,,,
25201710,Guías de onda del,,,
25201903,Sistemas de,,,
25201904,Paracaídas,,,
25202001,Células solares de la,,,
25202002,Formaciones solares,,,
25202101,Indicadores de la,,,
25202102,Medidores de la,,,
25202201,Sistemas de frenar,,,
25202202,Rampas de arrastre,,,
25202203,"Ruedas de avión Es una pieza mecánica circular que gira alrededor de un eje. Ruedas de avión,Llanta de avión Sistemas del aterrizaje",,,
25202204,Montajes del tren de,,,
25202205,Llantas de avión,,,
25202301,Cinturones de,,,
25202302,Arneses de,,,
25202403,Tanques de,,,
25202406,Post – impulsores Elementos utilizados para suministrarle mayor resistencia a,,,
25202501,Sistemas hidráulicos,,,
25202502,Iluminación exterior,,,
25202503,Iluminación interior,,,
25202504,Limpiaparabrisas de,,,
25202506,Puertas de avión Elemento de metal que se usa para abrir y cerrar. Puertas de avión Equipo de avión,,,
25202507,Ventanas de avión,,,
25202508,Parabrisas de avión,,,
25202509,Montajes de choque,,,
25202510,Conjuntos de anillo,,,
25202603,Turbinas para enfriar,,,
25202604,Ventiladores para,,,
25202605,Intercambiadores de,,,
25202606,Separadores del,,,
25202607,Equipo del oxígeno,,,
25202701,Acumuladores,,,
25202702,Acumuladores,,,
26101501,Motores hidráulicos,,,
26101502,Motores neumáticos,,,
26101503,Motores a gas,,,
26101504,Motores diesel,,,
26101505,Motores de vapor Es un motor de combustión externa que transforma la,,,
26101506,Motores de turbina Este tipo de motores usan una turbina de gas para mover el,,,
26101507,Motores de turbina,,,
26101508,Motores térmicos,,,
26101509,Motores,,,
26101510,Máquinas rotativas,,,
26101511,Motores de turbina,,,
26101512,Motores turbohélice,,,
26101513,Kit de reparación de,,,
26101515,Motor fuera de borda,,,
26101601,Motores de inducción,,,
26101602,Motores de corriente,,,
26101603,Motores de corriente,,,
26101605,Dinamotores,,,
26101606,Servomotores,,,
26101607,Motores de par de,,,
26101609,Motores sincrónicos,,,
26101610,Motores de cohete,,,
26101611,Motores monofásicos Tipo de motor eléctrico que puede funcionar tanto con,,,
26101612,Motores multifásicos,,,
26101613,Motores hidráulicos,,,
26101614,"Motores escalonados Motores usados en el area industrial, responde a cada pulso",,,
26101615,"Alternadores Máquina eléctrica generadora de corriente alterna. Alternadores,Gereradores,Generador,alternado",,,
26101616,Motor neumático,,,
26101701,Quemadores para,,,
26101702,Compresores de,,,
26101703,Difusores de motor,,,
26101704,Monturas de motor Elementos físicos que sirven para armar o poner en su lugar,,,
26101706,Unidades de,,,
26101707,Ejes compensadores,,,
26101708,Seguidores de la leva Es un tipo especializado de rodillo o cojinete de agujas,,,
26101709,Elevadores de árbol,,,
26101710,Carburadores Es el dispositivo que se encarga de preparar la mezcla de aire-,,,
26101711,"Bielas En las máquinas, barra que sirve para transformar el",,,
26101712,Válvulas de,,,
26101713,Culata de cilindro Es la parte superior de un motor de combustión interna que,,,
26101715,Tapas de motor Es la parte inferior de un motor que evita que elementos,,,
26101716,Forjas del motor,,,
26101717,Calentadores de,,,
26101718,Sistemas de ignición,,,
26101719,Súper cargadores,,,
26101720,Turbocargador,,,
26101721,Poleas del motor,,,
26101723,Lata de vapor de,,,
26101724,Tapón brillante,,,
26101725,Medidores de varilla,,,
26101726,"Coladores de aceite Instrumentos utilizados para evitar que la suciedad, restos y",,,
26101727,Anillo de pistón,,,
26101728,Tubos de varilla de,,,
26101729,Bolas de brazo,,,
26101730,Ejes de brazo,,,
26101731,Brazos oscilantes,,,
26101732,Bujía de encendido,,,
26101733,Chorro de,,,
26101734,Diafragmas de,,,
26101735,Batea de aceite,,,
26101736,Pistones,,,
26101737,Cadena de,,,
26101738,Múltiples de entrada,,,
26101740,Inyectores de,,,
26101741,Manguitos de motor,,,
26101743,Válvulas de motor,,,
26101747,"Varas de empuje Barras que trabaja en compresión en un motor. Varas de empuje,barra,compresión. Accesorios y",,,
26101748,Volante de inercia,,,
26101749,Cigüeñal,,,
26101750,Válvula de,,,
26101754,Asiento de válvula,,,
26101755,Guía de válvula,,,
26101756,Adaptadores del,,,
26101757,Accesorios de las,,,
26101758,Ajustadores del,,,
26101759,Adaptadores del,,,
26101760,Vástagos del estárter,,,
26101761,Tapones del árbol de,,,
26101763,Tapones del,,,
26101764,Revestimiento de los,,,
26101765,Amortiguadores de,,,
26101766,Reguladores,,,
26101801,Escobillas del motor,,,
26101802,Armaduras Es el eje de la turbina.Una turbina simple tienen una parte,,,
26101803,Rotores o estatores,,,
26101805,Kits de reparación,,,
26101806,Adaptadores de,,,
26101807,Bobinas de motor,,,
26101808,Monturas o soportes,,,
26101809,Freno de motor,,,
26101903,Árbol de distribución,,,
26101904,Boquilla de inyección,,,
26101905,Bloque de cilindros,,,
26111501,Conmutadores,,,
26111503,Dispositivos de,,,
26111504,Correas de la,,,
26111505,Cadenas de la,,,
26111508,Despegues de,,,
26111509,Culatas de,,,
26111510,Árboles de,,,
26111512,Ejes,,,
26111514,Uniones de charnela Son las articulaciones entre los elementos de la transmisión Uniones a charnela Transmisión de energía,,,
26111515,Servo controlador,,,
26111517,Portaengranajes,,,
26111518,Puntal tensor Es una herramienta práctica para el diseño sísmico de,,,
26111519,Convertidores de,,,
26111520,Muñones,,,
26111521,Cabeza del impulsor,,,
26111522,Conjunto del,,,
26111523,Topes de retención Elementos que impiden cualquier salida accidental de los,,,
26111524,Unidades de,,,
26111525,Transmisiones de,,,
26111526,Motores de,,,
26111528,Transmisiones,,,
26111529,Transmisiones,,,
26111530,Leva de transmisión,,,
26111531,Manguitos de la,,,
26111532,Soportes o,,,
26111533,Tensores de cadena Estan diseñados para operar en cualquier dirección y facilitan,,,
26111534,Cubos de la,,,
26111601,Generadores diesel,,,
26111602,Generadores,,,
26111603,Generadores eólicos,,,
26111604,Generadores a gas,,,
26111605,Generadores,,,
26111606,Generadores,,,
26111607,Generadores solares,,,
26111608,Generadores de,,,
26111701,Baterías recargables Es un grupo de una o más celdas electroquímicas secundarias.,,,
26111702,Pilas alcalinas,,,
26111703,Baterías para,,,
26111704,Cargadores de,,,
26111705,Pilas secas,,,
26111706,Pilas electrónicas,,,
26111707,Baterías de plomo-,,,
26111708,Baterías de,,,
26111709,Baterías de níquel-,,,
26111711,Baterías de litio,,,
26111712,Baterías de níquel-,,,
26111713,Baterías térmicas,,,
26111714,Zinc aire,,,
26111715,Batería de carbono,,,
26111716,Batería de oxido de,,,
26111717,Baterías del,,,
26111718,Baterías de óxido de,,,
26111719,Probadores de,,,
26111720,Soportes de batería Accesorios utilizados para dar firmeza a una bateria al,,,
26111721,Baterías de níquel-,,,
26111722,Adaptador de batería,,,
26111723,"Puertas, tapas o",,,
26111724,Kits de herramientas,,,
26111725,Baterías de níquel-,,,
26111726,Agua para batería,,,
26111801,Correas en v,,,
26111803,Correas redondas,,,
26111804,Correas planas,,,
26111805,Tensores de correa,,,
26111806,Poleas de,,,
26111807,Polea de distribución,,,
26111808,Trantorque Tuerca o dispositivo utilizado para ejercer fuerza. Par de apriete de la transmisión Componentes de la,,,
26111809,Defensas de correa Cobertores normalmente de plastico que se utilizapara cubrir,,,
26111810,Bridas de la polea de,,,
26111901,Embragues de placa,,,
26111902,Embragues de,,,
26111903,Embrague centrífugo,,,
26111904,Embrague semi,,,
26111905,Embrague de rueda,,,
26111907,Acoplamiento de,,,
26111908,Embragues de leva,,,
26111909,"Embragues eléctricos Embragues electromagnéticos funcionan eléctricamente, pero",,,
26111910,Embragues,,,
26112001,Placa de presión,,,
26112002,Placa impulsada,,,
26112003,Placas de embrague,,,
26112004,Kits de reparación,,,
26112101,Sistemas de frenos,,,
26112102,Sistemas de frenos,,,
26112103,Sistemas de frenos,,,
26112104,Conjuntos de,,,
26112105,Sistemas de frenado,,,
26121501,Alambre calentador Elemento electrico utilizado para el calentamiento de otro,,,
26121505,Alambre para,,,
26121507,Alambre para radio o,,,
26121509,Alambre para imanes,,,
26121510,Alambre de trole,,,
26121514,Alambre subterráneo Es el conjunto de cables que se disponen debajo de la tierra o,,,
26121515,Alambre de silicio-,,,
26121517,Hilo de cobre Hilo delgado que se obtiene por estiramiento del cobre,,,
26121519,Alambre de aluminio,,,
26121520,Alambre de cobre-,,,
26121521,Alambre de bronce,,,
26121522,Alambre pelado Alambre redondo de cobre electrolítico desnudo en,,,
26121523,Alambre forrado,,,
26121524,Alambre aislado o,,,
26121532,Alambre para,,,
26121533,"Alambre de kaptan Hilo compuesto de kaptan. Alambre de Kaptan,Cable,Conductor Alambre eléctrico Alambres, cables y",,,
26121534,Alambre de,,,
26121536,Cordón de extensión,,,
26121538,Conjunto de cable Manojo de hilos cruzados utilizados para determinado,,,
26121539,Cables para cableado,,,
26121540,Cable galvanizado Se utiliza a menudo para mejorar la resistencia a la corrosión,,,
26121541,Conductores de bus Es un material que ofrece poca resistencia al movimiento de,,,
26121601,Cable de,,,
26121602,Cable submarino,,,
26121603,Cable de mando,,,
26121604,Cable para señales Es un cable utilizado para transportar de un punto a otro,,,
26121606,Cable coaxial,,,
26121607,Cable de fibra óptica,,,
26121608,"Cable aéreo Conjunto de cables, las cabinas que circulan por ellos y las",,,
26121609,Cable de redes,,,
26121610,Cable de bronce Conductor de bronce o conjunto de ellos generalmente,,,
26121611,Cable desnudo,,,
26121612,Cable forrado pero,,,
26121613,Cable aislado o,,,
26121614,Cable de,,,
26121616,Cable de,,,
26121617,Cable triaxial,,,
26121618,Cable de poliqueno,,,
26121619,Cable de,,,
26121620,Cable para,,,
26121621,Cable de kaptan,,,
26121622,Cable de poliamida,,,
26121623,Cable de,,,
26121624,Cable plano o de,,,
26121628,Cables blindados,,,
26121629,Cable de,,,
26121630,Accesorios de cable Elementos adicionales utilizados con los cables. Accesorios de cable Cables eléctricos y,,,
26121631,Cable coaxial,,,
26121634,Cable de cobre,,,
26121635,Rollos de cable,,,
26121636,Cables de,,,
26121637,Cable de fibra óptica,,,
26121701,Cableado,,,
26121702,Cableado,,,
26121704,Arnés de alambrado,,,
26121705,Conjunto de cable de,,,
26131501,Centrales eléctricas,,,
26131502,Centrales eléctricas,,,
26131503,Centrales,,,
26131504,Centrales de gas,,,
26131505,Centrales de energía,,,
26131506,Centrales de energía,,,
26131507,Centrales de energía,,,
26131508,Centrales,,,
26131509,Central de energía,,,
26131510,Central térmica Es una instalación que produce energía eléctrica a partir de la,,,
26131601,Pantallas de agua,,,
26131602,Travesaños,,,
26131603,Rejillas de agua,,,
26131604,Filtros fijos El dispositivo que discrimina uno o varios elementos,,,
26131605,Estructuras de toma,,,
26131606,Chimenea de acero,,,
26131607,Chimenea de,,,
26131609,Chimeneas de,,,
26131610,Chimeneas de,,,
26131611,Secciones de,,,
26131612,Conductos de salida,,,
26131614,Amortiguadores de,,,
26131615,Amortiguadores de,,,
26131802,Paneles de control,,,
26131804,Paneles de control,,,
26131807,Paneles de control,,,
26131809,Conmutadores de,,,
26131810,Conmutadores de,,,
26131812,Conmutadores con,,,
27111501,Hojas de cuchillo,,,
27111502,"Navajas de afeitar Es una navaja de filo agudísimo, hecha de acero muy",,,
27111503,Cuchillos de diversas,,,
27111504,Navajas de bolsillo,,,
27111505,Sets para manicure,,,
27111506,Cizallas,,,
27111507,Cortadores de metal,,,
27111508,Sierras,,,
27111509,Barrenas,,,
27111510,Herramientas para,,,
27111511,Cortadores de,,,
27111512,Cortadores de pernos,,,
27111513,Cortadores de,,,
27111514,Cortadores de vidrio Es una herramienta utilizada por un vidriero para realizar,,,
27111515,Taladro de mano,,,
27111516,Alicates de,,,
27111519,Tijeras para estaño Tijeras para cortar pvc. Tijeras de fumista Herramientas de corte,,,
27111520,Rompetuercas Herramienta para extraer tuercas corroídas o atascadas sin,,,
27111601,Mazas de hierro,,,
27111602,Martillos,,,
27111603,Yunques,,,
27111604,Hachas de mano,,,
27111605,Picas,,,
27111607,Herramientas de,,,
27111608,Enderezadores,,,
27111609,Enderezadores,,,
27111701,Destornilladores,,,
27111702,Llaves para tuercas Este tipo de llaves están pensadas para procesos específicos,,,
27111703,Juegos de enchufes,,,
27111704,Enchufes,,,
27111705,Llaves de tuercas de,,,
27111706,Llave de tuercas de,,,
27111707,Llaves ajustables,,,
27111708,Llaves para tubos,,,
27111709,Extractor de tornillos,,,
27111710,Llaves allen,,,
27111711,Trinquetes,,,
27111712,Extractores,,,
27111713,Llaves de,,,
27111714,Llaves de,,,
27111715,Llaves de torsión,,,
27111716,Llave torx,,,
27111717,Extractores de,,,
27111718,Extractores de grifo,,,
27111720,Llave manual en t,,,
27111721,Manivelas,,,
27111722,Troqueleras,,,
27111723,Llaves de tubo,,,
27111724,Llaves de gancho Estas llaves permiten desmontar rodamientos y manguitos de,,,
27111725,Llaves tubulares de,,,
27111726,Llaves de tuercas,,,
27111727,Llaves macho con,,,
27111801,Cintas métricas,,,
27111802,Escalas,,,
27111803,Escuadras,,,
27111804,Plomadas,,,
27111806,Calibrador de clavos,,,
27111807,Bordes rectos Las líneas horizontales que tienen algunos papeles y que,,,
27111809,Biseles,,,
27111810,Buscadores de,,,
27111901,Cortafríos,,,
27111902,Limas,,,
27111903,Cepillos de,,,
27111904,Raspa Barra gruesa de metal o madera. ; Barra de hierro atravesada,,,
27111905,Esmeriladoras,,,
27111906,Cinceles de madera,,,
27111907,Cepillos de alambre,,,
27111909,Espátulas,,,
27111910,Buriles,,,
27111911,Formones,,,
27112001,Machetes,,,
27112002,Azadones,,,
27112003,Rastrillos,,,
27112004,Palas,,,
27112005,Hachas,,,
27112006,Guadañas,,,
27112007,Tijeras de podar Herramienta empleada principalmente para cortar los bordes,,,
27112008,Azadas,,,
27112009,Raspadores Utensilio que sirve para raspar y eliminar la capa superficial,,,
27112010,Horquilla de jardín,,,
27112011,Mangos de,,,
27112012,Criba jardinera,,,
27112013,Excavadora de hoyos,,,
27112014,Cortadora de pasto,,,
27112015,Escarificador de,,,
27112016,Tijeras para setos,,,
27112017,Barras de cavar o,,,
27112101,Dobladores de tubos,,,
27112102,Tornillos de banco,,,
27112103,Pinza de mano,,,
27112104,Tenazas,,,
27112105,Pinzas Es una tenaza pequeña que es utilizada en la jardineria para,,,
27112106,Alicates de,,,
27112107,Alicates boquianchos,,,
27112108,Alicates de punta de,,,
27112109,Herramientas,,,
27112110,Pinzas de anillo de,,,
27112111,Alicates de lagarto Herramienta multiusos de la electrónica que enrosca y,,,
27112112,Tenazas de ranura y,,,
27112114,Pinzas de corte,,,
27112115,Pinzas de cerrado,,,
27112116,Pinzas de cerca Pinzas especializadas para ser usadas en jardineria. Pinzas de cerco Herramientas de,,,
27112117,Tenazas de corte final Herramienta utilizada para cortar. Pinzas con corte adelante Herramientas de,,,
27112119,Cambiador de,,,
27112120,Grapas c,,,
27112121,Grapa de ángulo Son grapas usadas cuando el espacio es pequeno entre dos,,,
27112122,Alicates de hoja,,,
27112123,Prensa de mesa,,,
27112124,Tensionadores Utensilio que sirve para extender o alargar. Extensibles Herramientas de,,,
27112125,Alicates de punta,,,
27112126,Alicates planos,,,
27112127,Llaves de cinta,,,
27112128,Alicates de punta,,,
27112129,Abrazaderas de,,,
27112130,Abrazaderas de tres,,,
27112132,Abrazaderas de,,,
27112133,Abrazaderas con,,,
27112134,Alicates de punta,,,
27112201,Palustres,,,
27112202,Palustres o llanas de,,,
27112203,Bordeadoras,,,
27112205,Vibradores de,,,
27112301,Hierro de marcar,,,
27112302,Punzones o alwznas,,,
27112303,Punzón de trazar,,,
27112304,Líneas de marcar,,,
27112305,Marcadores o,,,
27112306,Sellos de metal El estampado es un forjado mecánico en el que se emplea un,,,
27112401,Pistolas de grapas Máquina portátil utiliza para conducir las grapas de metal,,,
27112402,"Ribeteadoras También conocido como martillo neumático, es un tipo de",,,
27112403,Colocadores de,,,
27112404,Herramientas para,,,
27112405,Calentadores de,,,
27112406,Pistolas de,,,
27112407,Desprendedor de,,,
27112501,Herramientas,,,
27112502,Palancas,,,
27112503,Dobladoras de tubos Máquina utilizada para darle curvatura a tubos de metal al,,,
27112504,Cuñas,,,
27112505,Ganchos para,,,
27112506,Manchas de,,,
27112601,Espátulas para,,,
27112602,Herramientas de,,,
27112701,Fuelles eléctricos,,,
27112702,Pulidoras eléctricas,,,
27112703,Taladradoras,,,
27112704,Amoladora eléctricas,,,
27112705,Martillos de,,,
27112706,Cepillos eléctricos,,,
27112707,Cuchillas eléctricas,,,
27112708,Lijadoras eléctricas,,,
27112709,Sierras eléctricas,,,
27112710,Pistolas de tornillos,,,
27112711,Pistolas de grapas,,,
27112712,Ribeteadoras,,,
27112714,Pistolas de calafateo,,,
27112716,Pistolas de clavos,,,
27112717,Pistolas de calor,,,
27112718,Grabadores Herramienta uitlizada para grabar o imprimir en un objeto la,,,
27112719,Pistolas para,,,
27112720,Herramientas de par,,,
27112721,Juntador de capas de,,,
27112801,Brocas Barrena de boca cónica que se usa con las máquinas de,,,
27112802,Hojas de sierra,,,
27112803,Fresadoras con,,,
27112805,Troqueles de roscado Son herramientas manuales empleadas para la fabricación de,,,
27112806,Machos de roscado,,,
27112807,Cuñas,,,
27112808,Anillos metálicos,,,
27112809,Portaherramientas Organizador utilizado para mantener en orden las,,,
27112810,Equipos para reparar,,,
27112811,Árboles,,,
27112812,Avellanadores,,,
27112813,"Vara de extensión Pieza construida en forma de telescopio, en que la misma se",,,
27112814,Brocas de,,,
27112815,Brocas para poner,,,
27112819,Cuchillas de corte,,,
27112821,Brocas de buriladora Herramienta utilizada parar perforar cilindro a través del,,,
27112822,Adaptadores de cubo,,,
27112823,Cadenas de corte,,,
27112824,Portabrocas,,,
27112825,Juegos de plantillas,,,
27112826,Caladora,,,
27112901,Pistolas de grasa Pistola para lubricar rodamientos abiertos con baja presión,,,
27112902,Chimeneas,,,
27112903,Rociador manual,,,
27112904,Pistola de resina,,,
27112905,Lata de aceite Recinto de metal o aluminio donde se depósita el aceite para,,,
27112906,Pistolas de,,,
27112907,Separadores de,,,
27112908,Pistola de aceite Pistolas diseñadas para acoplarse a dispensadores de aceite,,,
27113001,Cepillos de aruñar,,,
27113002,"Cepillos de tubo Cepillos utilizados para limpiar recintos de díficil acceso,",,,
27113003,Cepillos de aplicar Para aplicación de recubrimientos para techos. Puede usarse,,,
27113004,"Cepillos de extensor Es un tipo de cepillo utilizado para pintar madera Cepillos de extensor,brush,brocha,escobilla Cepillos Herramientas de",,,
27113101,Cinta guía,,,
27113102,Tirador de fusible Herramienta especialmente diseñada para ser utilizada para,,,
27113103,Buril,,,
27113201,Conjuntos generales,,,
27113203,Kit de herramienta,,,
27113204,Kits de electricista Conjunto de instrumentos o herramientas especializadas para,,,
27121501,Suspensiones a,,,
27121502,Bastidores de prensa,,,
27121503,Columnas de prensa,,,
27121601,Pistones de cilindro,,,
27121602,Cilindros hidráulicos Son actuadores mecánicos que son usados para dar,,,
27121603,Vástagos de pistón,,,
27121605,Cuerpos de cilindro,,,
27121701,Conectores,,,
27121702,Injertos o injertos,,,
27121703,Férulas,,,
27121704,Uniones hidráulicas,,,
27121705,Codos hidráulicos o,,,
27121706,Tuercas de férula Pieza con un hueco labrado en espiral que ajusta,,,
27121707,Conectores de,,,
27126101,Elevadores de tapas,,,
27126102,Acumuladores,,,
27131501,Llaves de impacto,,,
27131502,Pistola de aire,,,
27131504,Martillo neumático,,,
27131505,Taladro neumático,,,
27131506,Clavadora de clavos,,,
27131507,Máquinas de lijado,,,
27131508,Motores neumáticos,,,
27131509,Acumuladores,,,
27131510,Depósitos de,,,
27131511,Rectificadoras,,,
27131512,Destornillador,,,
27131601,Múltiples de aire Generalmente de metal o fibra de vidrio empleada para,,,
27131603,Reguladores de aire,,,
27131604,Lubricadores,,,
27131605,Cortina de aire,,,
27131608,Conos o,,,
27131609,Silenciadores,,,
27131613,Acoplamiento,,,
27131614,Adaptadores,,,
27131701,Cilindros neumáticos,,,
27131703,Pistones de cilindro,,,
27131704,Vástagos de pistón,,,
27131705,Cuerpo de cilindro,,,
27131706,Capacetes de,,,
27141001,Herramientas de,,,
27141101,Extractor del volante,,,
30101501,Ángulos de aleación,,,
30101502,Ángulos de aleación,,,
30101503,Ángulos de hierro,,,
30101504,Ángulos de acero,,,
30101505,Ángulos de acero,,,
30101506,Ángulos de aluminio,,,
30101507,Ángulos de magnesio,,,
30101508,Ángulos de titanio,,,
30101509,Ángulos de cobre,,,
30101510,Ángulos de latón,,,
30101511,Ángulos de bronce,,,
30101512,Ángulos de zinc,,,
30101513,Ángulos de estaño,,,
30101514,Ángulos de plomo,,,
30101515,Ángulos de plástico,,,
30101516,Ángulos de caucho,,,
30101517,Ángulos de metales,,,
30101601,Barras de aleación,,,
30101602,Barras de aleación,,,
30101603,"Barras de hierro Es una pieza más larga que gruesa, hecha de hierro u otro",,,
30101604,"Barras de acero Es una pieza más larga que gruesa, hecha de acero u otro",,,
30101605,Barras de acero,,,
30101606,"Barras de aluminio Es una pieza más larga que gruesa, hecha de aluminio u otro",,,
30101607,"Barras de magnesio Es una pieza más larga que gruesa, hecha de magnesio u otro",,,
30101608,"Barras de titanio Es una pieza más larga que gruesa, hecha de titanio u otro",,,
30101609,"Barras de cobre Es una pieza más larga que gruesa, hecha de cobre u otro",,,
30101610,"Barras de latón Es una pieza más larga que gruesa, hecha de latón u otro",,,
30101611,"Barras de bronce Es una pieza más larga que gruesa, hecha de bronce u otro",,,
30101612,"Barras de cinc Es una pieza más larga que gruesa, hecha de cinc u otro",,,
30101613,"Barras de estaño Es una pieza más larga que gruesa, hecha de estaño, u otro",,,
30101614,"Barras de plomo Es una pieza más larga que gruesa, hecha de plomo, u otro",,,
30101615,"Barras de plástico Es una pieza más larga que gruesa, hecha de plástico, otro",,,
30101616,Barras de metal,,,
30101617,"Barras de madera Es una pieza más larga que gruesa, hecha de madera u otro",,,
30101618,"Barras de caucho Es una pieza más larga que gruesa, hecha de caucho u otro",,,
30101701,Vigas de aleación,,,
30101702,Vigas de aleación no,,,
30101703,"Vigas de hierro Hierro de doble T largo y grueso de, sirve para formar los",,,
30101704,Vigas de acero,,,
30101705,Vigas de acero,,,
30101706,Vigas de aluminio,,,
30101707,Vigas de magnesio,,,
30101708,Vigas de titanio,,,
30101709,Vigas de cobre,,,
30101710,Vigas de latón,,,
30101711,Vigas de bronce,,,
30101712,"Vigas de zinc Hierro de cinc de doble T largo y grueso de, sirve para formar",,,
30101713,Vigas de estaño,,,
30101714,Vigas de plomo,,,
30101715,Vigas de plástico,,,
30101716,Vigas de caucho,,,
30101717,Vigas de concreto,,,
30101718,Vigas de metales,,,
30101801,Conductos de,,,
30101802,Conductos de,,,
30101803,"Conductos de hierro Canal de hierro, comúnmente cubierto, que sirve para dar",,,
30101804,"Conductos de acero Canal de acero, comúnmente cubierto, que sirve para dar",,,
30101805,Conductos de acero,,,
30101806,Conductos de,,,
30101807,Conductos de,,,
30101808,"Conductos de titanio Canal de titanio, comúnmente cubierto, que sirve para dar",,,
30101809,"Conductos de cobre Canal de cobre, comúnmente cubierto, que sirve para dar",,,
30101810,"Conductos de latón Canal de latón, comúnmente cubierto, que sirve para dar",,,
30101811,"Conductos de bronce Canal de bronce, comúnmente cubierto, que sirve para dar",,,
30101812,"Conductos de zinc Canal de cinc, comúnmente cubierto, que sirve para dar paso",,,
30101813,"Conductos de estaño Canal de estaño, comúnmente cubierto, que sirve para dar",,,
30101814,"Conductos de plomo Canal de plomo, comúnmente cubierto, que sirve para dar",,,
30101815,Conductos de,,,
30101816,"Conductos de caucho Canal de caucho, comúnmente cubierto, que sirve para dar",,,
30101817,Conductos de,,,
30101901,Bobina de aleación,,,
30101902,Bobina de aleación,,,
30101903,Bobina de hierro,,,
30101904,Bobina de acero,,,
30101905,Bobina de acero,,,
30101906,Bobina de aluminio,,,
30101907,Bobina de magnesio,,,
30101908,Bobina de titanio,,,
30101909,Bobina de cobre,,,
30101910,Bobina de latón,,,
30101911,Bobina de bronce,,,
30101912,Bobina de cinc,,,
30101913,Bobina de estaño,,,
30101914,Bobina de plomo,,,
30101915,Bobina de plástico,,,
30101916,Bobina de metales,,,
30101918,Acero perforado,,,
30101919,Acero estampado en,,,
30101920,Aduja de fibra,,,
30101921,"Aduja de fibra y goma Hibra y caucho enrollado en forma de hélice o espiral bobina,aduja de fibra y goma Bobina",,,
30101922,"Aduja de grafito Grafito enrollado en forma de hélice o espiral bobina,aduja de grafito Bobina",,,
30101923,Bobina de chapa de,,,
30102001,Lámina de aleación,,,
30102002,Lámina de aleación,,,
30102003,"Lámina de hierro Una hoja o lámina delgada y flexible de hierro hoja,hoja de hierro Hoja",,,
30102004,"Lámina de acero Una lámina muy fina de acero, el espesor de la cual se mide",,,
30102005,Lámina de acero,,,
30102006,Lámina de aluminio,,,
30102007,"Lámina de magnesio Una hoja o lámina delgada y flexible de magnesio hoja,hoja de magnesio Hoja",,,
30102008,"Lámina de titanio Una hoja o lámina delgada y flexible de titanio hoja,hoja de titanio Hoja",,,
30102009,"Lámina de cobre Una hoja o lámina delgada y flexible de cobre hoja,hoja de cobre Hoja",,,
30102010,"Lámina de latón Una hoja o lámina delgada y flexible de latón hoja,hoja de latón Hoja",,,
30102011,"Lámina de bronce Una hoja o lámina delgada y flexible de bronce hoja,hoja de bronce Hoja",,,
30102012,"Lámina de zinc Una hoja o lámina delgada y flexible de zinc hoja,hoja de cinc Hoja",,,
30102013,"Lámina de estaño Una hoja o lámina delgada y flexible de estaño hoja,hoja de estaño Hoja",,,
30102014,"Lámina de plomo Una hoja o lámina delgada y flexible de plomo hoja,hoja de plomo Hoja",,,
30102015,"Lámina de plástico Una hoja o lámina delgada y flexible de plástico hoja,hoja de plástico Hoja",,,
30102201,Placa de aleación,,,
30102202,Placa de aleación no,,,
