Código,Descripción,Clase,Familia,Segmento
10161701,Gladiolos cortados,,,
10161702,Azucenas cortadas,,,
10161703,Claveles cortados,,,
10161704,Tulipanes cortados,,,
10161705,Rosas cortadas,,,
10161707,Arreglo de flores,,,
10161801,Helechos,,,
10161802,Hiedras,,,
10161803,Filodendros,,,
10161804,Líquenes,,,
10161901,Vainas secas Cáscara tierna y larga en que están encerradas las semillas de,,,
10161902,Follaje seco Conjunto de hojas de los árboles y de otras plantas sin agua u,,,
10161903,Helechos secos,,,
10161904,"Flores secas Brote de muchas plantas, formado por hojas de colores sin",,,
10161905,Ramas y tallos secos,,,
10161906,Penachos de,,,
10161907,Flores secas,,,
10161908,"Pétalos secos Hoja transformada, por lo común de bellos colores, que",,,
10171501,"Estiércol o guano Materia orgánica en descomposición, principalmente",,,
10171502,Hormonas para,,,
10171503,Harina de pescado,,,
10171504,Abono Humus obtenido artificialmente por descomposición,,,
10171601,Fertilizante,,,
10171602,Fertilizante de,,,
10171603,Fertilizante de,,,
10171604,Fertilizante de sulfuro Porducto obtenido por reaccion del sulfuro mineral.,,,
10171701,Matamalezas,,,
10171702,Fungicidas,,,
10191506,Mata – roedores,,,
10191507,"Repelentes de aves Que arroja, lanza o echa de sí los pajaros con impulso o",,,
10191508,Protectores contra,,,
10191509,Insecticidas,,,
10191701,Trampas para,,,
10191704,Matamoscas Un matamoscas es un instrumento manual para golpear con,,,
10191705,Lazos,,,
10191706,Cepos,,,
11101501,Mica,,,
11101502,Lija o esmeril,,,
11101503,Cuarzo,,,
11101504,Pirita,,,
11101505,Azufre o sulfuro,,,
11101506,Tiza,,,
11101507,Grafito,,,
11101508,Dolomita,,,
11101509,Magnesita,,,
11101510,Asbesto (amianto),,,
11101511,Calcio,,,
11101512,Borato,,,
11101513,Criolita,,,
11101514,Feldespato,,,
11101515,Leucita,,,
11101516,Nefelita,,,
11101517,Esteatita,,,
11101518,Talco,,,
11101519,Diamante en bruto,,,
11101520,Granates,,,
11101521,Carburo de silicio,,,
11101522,Carbón activado,,,
11101523,Mulita,,,
11101524,Fluorita,,,
11101525,Kieserita,,,
11101526,Carnalita,,,
11101527,Sílice de diatomeas,,,
11101601,Mineral de hierro,,,
11101602,Mineral de titanio,,,
11101603,Mineral de uranio,,,
11101604,Mineral de cobre,,,
11101605,Mineral de aluminio,,,
11101606,Mineral de níquel,,,
11101607,Mineral de plata,,,
11101608,Mineral de plomo,,,
11101609,Mineral de zinc,,,
11101610,Mineral de estaño,,,
11101611,Mineral de,,,
11101612,Mineral de cromo,,,
11101614,Mineral de,,,
11101615,Mineral de cobalto,,,
11101616,Mineral de oro,,,
11101617,Mineral de tántalo,,,
11101618,Mineral de platino,,,
11101619,Mineral de,,,
11101620,Mineral de torio,,,
11101621,"Mineral de cianita Turmalina de color azul o silicato natural de alúmina. Mineral de cianita,mineral,cianita Minerales metálicos Minerales, minerales",,,
11101622,Mineral de antimonio,,,
11101623,Mineral de zirconio,,,
11101701,Escoria o ceniza,,,
11101702,Grafito natural,,,
11101703,Titanio,,,
11101704,Acero,,,
11101705,Aluminio,,,
11101706,Níquel,,,
11101707,Magnesio,,,
11101708,Bismuto,,,
11101709,Antimonio,,,
11101710,Cadmio,,,
11101711,Aleación no ferrosa,,,
11101712,Aleación ferrosa,,,
11101713,Hierro,,,
11101714,Plomo,,,
11101715,Cobre,,,
11101716,Estaño,,,
11101717,Indio,,,
11101718,Paladio,,,
11101719,Zinc,,,
11101801,Oro,,,
11101802,Plata,,,
11101803,Platino,,,
11111501,Tierra Material desmenuzable de que principalmente se compone el,,,
11111502,Material de relleno,,,
11111503,Capa vegetal,,,
11111601,Yeso,,,
11111602,Travertino,,,
11111603,Alabastro,,,
11111604,Granito,,,
11111605,Mármol,,,
11111606,Pizarra,,,
11111607,Arenisca,,,
11111608,Caliza,,,
11111609,Basalto,,,
11111610,Piedra pómez,,,
11111611,Gravilla,,,
11111701,Arena de sílice,,,
11111801,Terracota,,,
11111802,Arcilla refractaria,,,
11111803,Caolín u otras,,,
11111804,Bentonita,,,
11111805,Andalucita La andalucita es un mineral de fórmula química Al2SiO5. Es,,,
11111806,Mullita,,,
11111807,Chamota,,,
11111808,Arcilla común,,,
11111809,Arcilla de bola,,,
11111810,Tierra de fuller,,,
11121502,Resina,,,
11121503,Laca,,,
11121603,Troncos,,,
11121604,Madera blanda,,,
11121605,Ratán,,,
11121606,Corcho,,,
11121607,Pulpa de madera,,,
11121608,Bambú,,,
11121609,Contrachapado,,,
11121610,Maderas duras,,,
11121611,Tablero de partículas,,,
11121612,Médula de madera,,,
11121701,Aserrín,,,
11121702,Astillas de madera,,,
11121703,Musgo de turba,,,
11121705,Corteza,,,
11121706,Composta de madera,,,
11121707,Viruta de madera,,,
11121708,Harina de madera,,,
11121709,Bálsamos,,,
11121710,"Brea de madera Es una sustancia bituminosa, grasa, oscura y de olor fuerte,",,,
11121801,Cáñamo,,,
11121802,Algodón,,,
11121803,Lino,,,
11121804,Yute,,,
11121805,Sisal,,,
11121806,"Fibra de coco Filamento extraído de la corteza del coco, concretamente del",,,
11121807,Fibras de abacá,,,
11121808,Ramio,,,
11121809,Paja,,,
11121810,Mijo común o ixtle o,,,
11121901,Raíz de regaliz,,,
11131501,Plumas,,,
11131502,Pieles,,,
11131503,Pelo animal Se llama pelo a la hebra o hilo delgado que sale por los poros,,,
11131504,Cueros,,,
11131505,Mohair sin procesar,,,
11131506,Lana sin procesar,,,
11131507,Gamuza,,,
11131508,Cuero de grano,,,
11131601,Marfil,,,
11131602,Semen,,,
11131603,Excreciones,,,
11131604,Huevas de pescado,,,
11131605,Huesos,,,
11131606,Cuernos de animales,,,
11131607,Embriones,,,
11131608,Artículos de concha,,,
11141601,Desecho o,,,
11141602,Desecho o,,,
11141603,Desechos de aceite Material que queda como inservible después de haber,,,
11141604,Desechos de papel,,,
11141609,Composición de,,,
11151501,Fibras de acetato,,,
11151502,Fibras de nylon Conjunto de filamentos o hebras de un material sintético,,,
11151503,Fibras de poliéster Las fibras de poliéster se obtienen por polimerización de,,,
11151504,Fibras de acrílico,,,
11151505,Fibras de viscosas,,,
11151506,Fibras de rayón,,,
11151507,Fibras de algodón,,,
11151508,Fibras de lana,,,
11151509,Fibras de seda,,,
11151510,Fibras vegetales,,,
11151511,Fibras de,,,
11151512,Fibras de vidrio La fibra de vidrio es un material que consta,,,
11151513,Fibras cerámicas,,,
11151514,Fibras de polímero,,,
11151515,Fibras de asbesto,,,
11151601,Hebra de algodón,,,
11151602,Hebra de seda,,,
11151603,Hebra de poliéster Son el producto de hilar las fibras de poliéster.,,,
11151604,Hebra de poliamida,,,
11151605,Hebra de,,,
11151606,Hebra de fibra de,,,
11151607,Hebra de grafito Trozo de hilo o fibra textil que se usa para coser de una,,,
11151608,Hebra de nylon,,,
11151609,Hebra de resina,,,
11151610,Hebra de caucho o,,,
11151611,"Hebra de spandex Hebra larga, muy larga y delgada de una fibra sintética muy",,,
11151612,Hebra de asbesto,,,
11151701,Hilado de lana,,,
11151702,"Hilado de algodón hebra larga, muy larga y delgada de",,,
11151703,"Hilado de poliéster hebra larga, muy larga y delgada de Hilo de poliéster, hebra de poliéster,filamento,",,,
11151704,Hilado de acrílico,,,
11151705,"Hilado de seda hebra larga, muy larga y delgada de Hilo de seda, hebra de seda,filamento,hebra,",,,
11151706,Hilado de ramie,,,
11151708,Hilado de pelo animal Hebra o hilo delgado que sale por los poros del cuerpo,,,
11151709,Hilado de sintético,,,
11151710,"Hilado de yute El tejido como producto textil es el resultado de tejer hilos,",,,
11151711,Hilado de fibra de,,,
11151712,"Hilado de papel El tejido como producto textil es el resultado de tejer hilos,",,,
11151713,"Hilado de cáñamo El tejido como producto textil es el resultado de tejer hilos,",,,
11151714,Hilado de vidrio La fibra de vidrio es un material que consta,,,
11151715,Hilado de lino,,,
11161501,Textiles de seda de,,,
11161502,Textiles de seda de,,,
11161503,Textiles de lana,,,
11161504,Textiles de tejido de,,,
11161601,Tejidos de lana en,,,
11161602,Tejidos de lana,,,
11161603,Tejidos de lana de,,,
11161604,Tejidos de lana de,,,
11161701,Textiles de algodón,,,
11161702,Textiles de algodón,,,
11161703,Tela de algodón,,,
11161704,Textiles de algodón,,,
11161705,Textiles de terciopelo,,,
11161801,Textil sintético de,,,
11161802,Textil sintético de,,,
11161803,Textil sintético de,,,
11161804,Textil sintético tejido,,,
11161805,Textil sintético de,,,
11162003,Tela de arpillera o,,,
11162101,Tela o textil de queso Tejido de estopilla es un textil hecho de un tejido diseñado de,,,
11162102,Tela o textil de,,,
11162104,Tela o textil de grafito,,,
11162105,Tela o textil de vidrio Material que consta de fibras numerosas y extremadamente,,,
11162107,Tela de resina,,,
11162108,Tela malla de,,,
11162109,Encaje,,,
11162110,Malla red,,,
11162111,"Malla La forma en que se anudan los hilos de una red. Malla,tejido,red,punto Tejidos o telas",,,
11162112,Telas revestidas,,,
11162113,Telas para tapicería,,,
11162114,Telas o cintas de,,,
11162115,Trenza elástica,,,
11162116,Tela de fique o,,,
11162117,"Tela de caucho  La tela resultante de tejer hilos, filamentos o fibras de",,,
11162118,Tela de hilado de,,,
11162119,Tela de calcado Es un textil traslucido por el cual se puede copiar un dibujo de,,,
11162120,Tela de cernido,,,
11162122,Tela de sujeción,,,
11162123,Tela de cinta Form de tejedura utilizada para todo tipo de cinta utilizada. Tejidos de cinta Tejidos o telas,,,
11162124,Tela de fieltro,,,
11162125,Tela de correas,,,
11162126,Tela acolchada,,,
11162127,Tela de camuflaje,,,
11162128,Tela de paracaídas,,,
11162129,"Tela marquisette Malla pura, ligera o tejido de red con un tejido de lino. Tela marquisette Tejidos o telas",,,
11162130,Tela dosel,,,
11162131,Tela para ribeteado,,,
11162201,Telas no tejidas,,,
11162202,Telas no tejidas,,,
11162301,Cuero de gamuza,,,
11162302,Cuero de cabra Pellejo de la cabra después de curtido y preparado para los,,,
11162303,Cuero de oveja Pellejo del cordero después de curtido y preparado para los,,,
11162304,Cuero acharolado,,,
11162305,Cuero de vaca Pellejo de la vaca después de curtido y preparado para los,,,
11162306,Cuero de cerdo Pellejo del cerdo después de curtido y preparado para los,,,
11162307,Cuero sintético o de,,,
11162308,Cuero de búfalo Pellejo De bufalo después de curtido y preparado para los,,,
11162309,Cuero de reptil Pellejo De bufalo después de curtido y preparado para los,,,
11162310,Cuero de caballo Pellejo del caballo después de curtido y preparado para los,,,
11162311,Cuero de becerro,,,
12131501,Dinamita,,,
12131502,Cartuchos explosivos,,,
12131503,Explosivos,,,
12131504,Cargas explosivas,,,
12131505,Explosivos plásticos,,,
12131506,Explosivos,,,
12131507,Explosivos de nitrato,,,
12131508,Explosivos de polvo,,,
12131601,"Fuegos artificiales Dispositivos que tienen efectos visuales, sonoros y fumígenos",,,
12131602,Señales de niebla,,,
12131603,Cohetes de lluvia,,,
12131604,Antorchas,,,
12131701,Estopines,,,
12131702,Detonadores,,,
12131703,Mechas explosivas Dispositivo integrado en un proyectil que inicia la detonación,,,
12131704,Iniciadores,,,
12131705,Fulminantes,,,
12131706,Fósforos,,,
12131707,Encendedores,,,
12131708,Caja detonadora,,,
12131801,Propelente en polvo,,,
12131802,Propelente sólido,,,
12131803,Propelente de pistola,,,
12131804,Propelente de alta,,,
12131805,Propelente en gel Son propulsores que ofrecen una mayor seguridad y la falta,,,
12131806,Propelente híbridos,,,
12141501,Berilio be,,,
12141502,Magnesio mg,,,
12141503,Calcio ca,,,
12141504,Estroncio sr,,,
12141505,Bario ba,,,
12141506,Radio ra,,,
12141601,Cerio ce,,,
12141602,Disprosio dy,,,
12141603,Erbio er,,,
12141604,Europio eu,,,
12141605,Gadolinio gd,,,
12141606,Holmio ho,,,
12141607,Lantano la,,,
12141608,Lutecio lu,,,
12141609,Neodimio nd,,,
12141610,Praseodimio pr,,,
12141611,Promecio pm,,,
12141612,Samario sm,,,
12141613,Escandio sc,,,
12141614,Terbio tb,,,
12141615,Tulio tm,,,
12141616,Iterbio yb,,,
12141617,Itrio y,,,
12141701,Actinio ac,,,
12141702,Aluminio al,,,
12141703,Americio am,,,
12141704,Antimonio sb,,,
12141705,Berkelio bk,,,
12141706,Bismuto bi,,,
12141707,Cadmio ca,,,
12141708,Californio cf,,,
12141709,Cromo cr,,,
12141710,Cobalto co,,,
12141711,Cobre cu,,,
12141712,Curio cm,,,
12141713,Einstenio es,,,
12141714,Fermio fm,,,
12141715,Galio ga,,,
12141716,Germanio ge,,,
12141717,Oro au,,,
12141718,Hafnio hf,,,
12141719,Indio in,,,
12141720,Iridio ir,,,
12141721,Hierro fe,,,
12141722,Lawrencio lr,,,
12141723,Plomo pb,,,
12141724,Manganeso mn,,,
12141725,Mendelevio md,,,
12141726,Mercurio hg,,,
12141727,Molibdeno mo,,,
12141728,Neptunio np,,,
12141729,Níquel ni,,,
12141730,Niobio nb,,,
12141731,Nobelio no,,,
12141732,Osmio os,,,
12141733,Paladio pd,,,
12141734,Platino pyt,,,
12141735,Plutonio pu,,,
12141736,Protactinio pa,,,
12141737,Renio re,,,
12141738,Rodio rh,,,
12141739,Rutenio ru,,,
12141740,Plata ag,,,
12141741,Tántalo ta,,,
12141742,Tecnecio te,,,
12141743,Talio tl,,,
12141744,Torio th,,,
12141745,Estaño sn,,,
12141746,Titanio ti,,,
12141747,Tungsteno w,,,
12141748,Uranio u,,,
12141749,Vanadio v,,,
12141750,Zinc zn,,,
12141751,Zirconio zr,,,
12141752,Bohrio bh,,,
12141753,Dubnio db,,,
12141754,Hassio hs,,,
12141755,Rutherfordio rf,,,
12141756,Seaborgio sg,,,
12141757,Ununnilium uum,,,
12141758,Unununium uuu,,,
12141759,Ununbium uub,,,
12141760,Polonio po,,,
12141801,Cesio cs,,,
12141802,Francio fm,,,
12141803,Litio li,,,
12141804,Potasio k,,,
12141805,Rubidio rb,,,
12141806,Sodio na,,,
12141901,Cloro cl,,,
12141902,Hidrógeno h,,,
12141903,Nitrógeno n,,,
12141904,Oxígeno o,,,
12141905,Flúor f,,,
12141906,Arsénico as,,,
12141907,Boro b,,,
12141908,Carbono c,,,
12141909,Fósforo p,,,
12141910,Selenio se,,,
12141911,Silicona si,,,
12141912,Azufre s,,,
12141913,Telurio te,,,
12141914,Astato at,,,
12141915,Bromo br,,,
12141916,Yodo i,,,
12142001,Gas xenón xe,,,
12142002,Gas radón rn,,,
12142003,Gas criptón kr,,,
12142004,Gas argón ar,,,
12142005,Gas helio he,,,
12142006,Gas neón ne,,,
12142101,Gases compuestos,,,
12142102,Gases compuestos,,,
12142103,Amoniaco,,,
12142104,Gas dióxido de,,,
12142105,Aire industrial Son las mezclas de gases que se utiliza en el area industrial. Aire industrial Gases naturales y,,,
12142106,Mezclas de gas inerte,,,
12142201,Disolvente deuterado,,,
12142202,Agua pesada,,,
12142203,"Fuentes alfa Emisor de núcleos completamente ionizados, es decir, sin su",,,
12142204,Fuentes beta,,,
12142205,Fuentes de cobalto,,,
12142206,Fuentes gamma,,,
12142207,Fuentes radio –,,,
12142208,Fuentes de,,,
12161501,Etiquetas de afinidad,,,
12161502,Agentes de,,,
12161503,Kits de reactivos,,,
12161504,Reactivos sulfhidrilo,,,
12161505,Agentes de,,,
12161506,Agentes de desvío,,,
12161507,Reactivo cupferrón,,,
12161601,Catalizadores ácidos,,,
12161602,Catalizadores de,,,
12161603,Catalizadores a la,,,
12161604,Catalizadores de,,,
12161701,Mezclas de anfólito,,,
12161703,Otras soluciones,,,
12161704,Soluciones,,,
12161705,Soluciones,,,
12161801,Geles,,,
12161802,Suspensiones En química se refiere a mezclas heterogéneas formadas por,,,
12161803,Aerosoles,,,
12161804,Emulsiones,,,
12161805,Agentes gelificantes,,,
12161806,Agentes gelificantes,,,
12161807,Estabilizadores de gel Son geles que se utilizan con la finalidad de mantener un,,,
12161808,Agentes de,,,
12161901,Agentes anti –,,,
12161902,Surfactantes,,,
12161903,Agentes de espuma,,,
12161904,Agentes de,,,
12161905,Enjuagues Son equipos que utilizan la presión de agua para su finalidad,,,
12161906,Agentes de,,,
12161907,Aditivos de,,,
12162002,Poliméricos,,,
12162003,Aceites agrícolas,,,
12162004,Sulfonamidas,,,
12162005,Glutaratos,,,
12162101,Retardantes,,,
12162201,Ácido ascórbico,,,
12162202,Beta caroteno,,,
12162203,Butilhidroxianisol,,,
12162204,Butilado,,,
12162205,Citrato de calcio,,,
12162206,Cantaxantina,,,
12162207,Melatonina,,,
12162209,Galato de propilo,,,
12162210,Silibinina,,,
12162211,Dióxido de azufre,,,
12162212,Ubicquinona o,,,
12162302,Aceleradores de,,,
12162303,Retardantes de,,,
12162401,Rompedores de,,,
12162402,Rompedores de,,,
12162503,Ayudas de flotación,,,
12162601,Estabilizadores de,,,
12162602,Estabilizadores de,,,
12162801,Reductores de,,,
12162802,Reductores de,,,
12163001,Agentes de limpieza,,,
12163101,"Aditivos anti – lodos Son tensioactivos que eliman el problema de saca-arena Aditivos Anti saca-arena,Aditivos Anti",,,
12163201,Aditivos de,,,
12163401,Extensores de,,,
12163501,Sellantes de cemento,,,
12163701,Controladores de,,,
12163801,Eliminadores de,,,
12163802,Eliminadores de,,,
12163901,Inhibidores de,,,
12164001,Microbicidas,,,
12164101,Aditivos in situ Elementos químicos que modifican características de metales,,,
12164102,Aditivos ácidos Elementos químicos ácidos que modifican características de,,,
12164201,Inhibidores anti –,,,
12164301,Aditivos de control,,,
12164401,Aditivos no,,,
12164501,Preservativos de,,,
12164502,sabores o extractos,,,
12164503,Aditivos de fragancia Son elementos químicos que se le agregan a las fragancias. Aditivos de fragancias Aditivos de alimentos y,,,
12164504,Endulzantes,,,
12171501,Colorantes,,,
12171502,Colorantes ftaleínicos,,,
12171503,Colorantes rosanilina Tipo de tinción diferencial empleado en Bacteriología para la,,,
12171505,Lacado Sustancia que añadida a otro elemento sirve para darles color,,,
12171506,Colorantes naturales,,,
12171602,Óxidos metálicos,,,
12171603,Negro carbono,,,
12171604,Dióxido de titanio,,,
12171605,Pigmentos orgánicos,,,
12171701,Concentrado de,,,
12171702,Dispersiones de,,,
12171703,Tintas,,,
12181501,Ceras sintéticas,,,
12181502,Ceras naturales,,,
12181503,Parafinas,,,
12181504,Petrolatos Es una mezcla semisólida de hidrocarburos que se puede,,,
12181601,Aceites sintéticos,,,
12181602,Aceites naturales,,,
12191501,Disolventes,,,
12191502,Disolventes alifáticos,,,
12191504,Alcanos cíclicos,,,
12191601,Solventes de alcohol,,,
12191602,Solventes activos,,,
12352001,Alcanos,,,
12352002,Alquenos Son hidrocarburos insaturados que tienen uno o varios,,,
12352003,Alquinos,,,
12352103,Compuestos órgano,,,
12352104,Alcoholes o sus,,,
12352105,Alcoholes tio,,,
12352106,Ácidos orgánicos o,,,
12352107,Sales orgánicas o sus,,,
12352108,Esteres o sus,,,
